04-Aug-2026 18:18:25 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
04-Aug-2026 18:18:25 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
04-Aug-2026 18:18:25 | INFO    | Running IHP-SG13G2 main checks on design /foss/designs/sg13g2_stdcell_hv/work/drc/drc_top.gds, topcell: drc_top
2026-08-04 18:18:28 +0200: Memory Usage (455240K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/sg13g2_stdcell_hv/work/drc/drc_top.gds
2026-08-04 18:18:28 +0200: Memory Usage (455240K) : Ruby Version for klayout: 3.2.3
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : Loading database to memory is complete.
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/sg13g2_stdcell_hv/work/drc/run18/drc_top_drc_top_main.lyrdb
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : Evaluate switches.
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : tables selected: main
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : deep mode is enabled.
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : FEOL enabled: true
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : BEOL enabled: true
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : OFFGRID enabled: true
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : ANGLE enabled: true
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : PIN enabled: true
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : FORBIDDEN enabled: true
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : RECOMMENDED enabled: true
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : PreCheck DRC enabled: false
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : CONNECTIVITY_RULES enabled: true.
2026-08-04 18:18:28 +0200: Memory Usage (456500K) : Read in polygons from layers.
2026-08-04 18:18:28 +0200: Memory Usage (458040K) : activ_drw has 624 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458040K) : activ_pin has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458040K) : activ_mask has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458040K) : activ_filler has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458040K) : activ_nofill has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458040K) : activ_opc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458040K) : activ_iopc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458040K) : activ_noqrc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458040K) : biwind_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458040K) : biwind_opc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458040K) : pemwind_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458168K) : gatpoly_drw has 708 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458296K) : gatpoly_pin has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458296K) : gatpoly_filler has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458424K) : gatpoly_nofill has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458424K) : gatpoly_opc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458552K) : gatpoly_iopc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458552K) : gatpoly_noqrc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458680K) : cont_drw has 5962 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458808K) : cont_opc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458808K) : nsd_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458936K) : nsd_block has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458936K) : metal1_drw has 2064 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458936K) : metal1_pin has 684 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458936K) : metal1_mask has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458936K) : metal1_filler has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458936K) : metal1_nofill has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (458936K) : metal1_slit has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (459448K) : metal1_text has 686 polygons
2026-08-04 18:18:28 +0200: Memory Usage (459448K) : metal1_opc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (459448K) : metal1_noqrc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (459448K) : metal1_res has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (459448K) : metal1_iprobe has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (459576K) : metal1_diffprb has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (459576K) : passiv_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (459704K) : passiv_pin has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (459704K) : passiv_sbump has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (459704K) : passiv_pillar has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (459832K) : passiv_pdl has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (459832K) : metal2_drw has 4 polygons
2026-08-04 18:18:28 +0200: Memory Usage (459960K) : metal2_pin has 2 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460088K) : metal2_mask has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460088K) : metal2_filler has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460088K) : metal2_nofill has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460216K) : metal2_slit has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460216K) : metal2_text has 2 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460344K) : metal2_opc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460344K) : metal2_noqrc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460472K) : metal2_res has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460472K) : metal2_iprobe has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460600K) : metal2_diffprb has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460600K) : baspoly_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460600K) : baspoly_pin has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460728K) : psd_drw has 268 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460728K) : nldb_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460856K) : digibnd_drw has 132 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460856K) : via1_drw has 6 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460984K) : backmetal1_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (460984K) : backmetal1_pin has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (461112K) : backmetal1_mask has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (461112K) : backmetal1_filler has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (461240K) : backmetal1_nofill has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (461240K) : backmetal1_slit has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (461368K) : backmetal1_text has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (461368K) : backmetal1_opc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (461368K) : backmetal1_noqrc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (461496K) : backmetal1_res has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (461624K) : backmetal1_iprobe has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (461752K) : backmetal1_diffprb has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (461752K) : backpassiv_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (461880K) : res_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (461880K) : sram_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (461880K) : trans_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462008K) : ind_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462008K) : ind_pin has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462136K) : ind_text has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462136K) : salblock_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462264K) : via2_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462264K) : metal3_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462264K) : metal3_pin has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462392K) : metal3_mask has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462392K) : metal3_filler has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462520K) : metal3_nofill has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462520K) : metal3_slit has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462648K) : metal3_text has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462648K) : metal3_opc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462776K) : metal3_noqrc has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462776K) : metal3_res has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462904K) : metal3_iprobe has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (462904K) : metal3_diffprb has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (463032K) : nwell_drw has 136 polygons
2026-08-04 18:18:28 +0200: Memory Usage (463032K) : nwell_pin has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (463032K) : nbulay_drw has 0 polygons
2026-08-04 18:18:28 +0200: Memory Usage (463032K) : nbulay_pin has 0 polygons
