03-Aug-2026 20:50:01 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
03-Aug-2026 20:50:01 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
03-Aug-2026 20:50:01 | INFO    | Running IHP-SG13G2 main checks on design /foss/designs/sg13g2_stdcell_hv/work/drc/drc_lv.gds, topcell: drc_top
2026-08-03 20:50:04 +0200: Memory Usage (455152K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/sg13g2_stdcell_hv/work/drc/drc_lv.gds
2026-08-03 20:50:04 +0200: Memory Usage (455152K) : Ruby Version for klayout: 3.2.3
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : Loading database to memory is complete.
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/sg13g2_stdcell_hv/work/drc/runlv/drc_lv_drc_top_main.lyrdb
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : Evaluate switches.
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : tables selected: main
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : deep mode is enabled.
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : FEOL enabled: true
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : BEOL enabled: true
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : OFFGRID enabled: true
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : ANGLE enabled: true
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : PIN enabled: true
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : FORBIDDEN enabled: true
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : RECOMMENDED enabled: true
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : PreCheck DRC enabled: false
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : CONNECTIVITY_RULES enabled: true.
2026-08-03 20:50:04 +0200: Memory Usage (456412K) : Read in polygons from layers.
2026-08-03 20:50:04 +0200: Memory Usage (457656K) : activ_drw has 1034 polygons
2026-08-03 20:50:04 +0200: Memory Usage (457656K) : activ_pin has 0 polygons
2026-08-03 20:50:04 +0200: Memory Usage (457656K) : activ_mask has 0 polygons
2026-08-03 20:50:04 +0200: Memory Usage (457656K) : activ_filler has 0 polygons
2026-08-03 20:50:04 +0200: Memory Usage (457656K) : activ_nofill has 0 polygons
2026-08-03 20:50:04 +0200: Memory Usage (457656K) : activ_opc has 0 polygons
2026-08-03 20:50:04 +0200: Memory Usage (457656K) : activ_iopc has 0 polygons
2026-08-03 20:50:04 +0200: Memory Usage (457656K) : activ_noqrc has 0 polygons
2026-08-03 20:50:04 +0200: Memory Usage (457784K) : biwind_drw has 0 polygons
2026-08-03 20:50:04 +0200: Memory Usage (457784K) : biwind_opc has 0 polygons
2026-08-03 20:50:04 +0200: Memory Usage (457912K) : pemwind_drw has 0 polygons
2026-08-03 20:50:04 +0200: Memory Usage (457912K) : gatpoly_drw has 1720 polygons
2026-08-03 20:50:04 +0200: Memory Usage (458168K) : gatpoly_pin has 0 polygons
2026-08-03 20:50:04 +0200: Memory Usage (458168K) : gatpoly_filler has 0 polygons
