# Logfile created on 2026-08-03 20:47:31 +0200 by logger.rb/v1.5.3
2026-08-03 20:47:31 +0200: Memory Usage (454944K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/sg13g2_stdcell_hv/work/drc/drc_top3.gds
2026-08-03 20:47:31 +0200: Memory Usage (454944K) : Ruby Version for klayout: 3.2.3
2026-08-03 20:47:31 +0200: Memory Usage (455896K) : Loading database to memory is complete.
2026-08-03 20:47:31 +0200: Memory Usage (455896K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/sg13g2_stdcell_hv/work/drc/run3row/drc_top3_drc_top_main.lyrdb
2026-08-03 20:47:31 +0200: Memory Usage (456080K) : Evaluate switches.
2026-08-03 20:47:31 +0200: Memory Usage (456080K) : tables selected: main
2026-08-03 20:47:31 +0200: Memory Usage (456080K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-03 20:47:31 +0200: Memory Usage (456080K) : deep mode is enabled.
2026-08-03 20:47:31 +0200: Memory Usage (456080K) : FEOL enabled: true
2026-08-03 20:47:31 +0200: Memory Usage (456080K) : BEOL enabled: true
2026-08-03 20:47:31 +0200: Memory Usage (456080K) : OFFGRID enabled: true
2026-08-03 20:47:31 +0200: Memory Usage (456080K) : ANGLE enabled: true
2026-08-03 20:47:31 +0200: Memory Usage (456080K) : PIN enabled: true
2026-08-03 20:47:31 +0200: Memory Usage (456080K) : FORBIDDEN enabled: true
2026-08-03 20:47:31 +0200: Memory Usage (456080K) : RECOMMENDED enabled: true
2026-08-03 20:47:31 +0200: Memory Usage (456080K) : PreCheck DRC enabled: false
2026-08-03 20:47:31 +0200: Memory Usage (456080K) : CONNECTIVITY_RULES enabled: true.
2026-08-03 20:47:31 +0200: Memory Usage (456080K) : Read in polygons from layers.
2026-08-03 20:47:31 +0200: Memory Usage (457464K) : activ_drw has 936 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457464K) : activ_pin has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457464K) : activ_mask has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457464K) : activ_filler has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457464K) : activ_nofill has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457464K) : activ_opc has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457464K) : activ_iopc has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457464K) : activ_noqrc has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457464K) : biwind_drw has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457464K) : biwind_opc has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457592K) : pemwind_drw has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457592K) : gatpoly_drw has 1074 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457720K) : gatpoly_pin has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457720K) : gatpoly_filler has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457848K) : gatpoly_nofill has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457976K) : gatpoly_opc has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457976K) : gatpoly_iopc has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (457976K) : gatpoly_noqrc has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458104K) : cont_drw has 8943 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458232K) : cont_opc has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458232K) : nsd_drw has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458360K) : nsd_block has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458360K) : metal1_drw has 3072 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458360K) : metal1_pin has 1026 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458360K) : metal1_mask has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458360K) : metal1_filler has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458360K) : metal1_nofill has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458360K) : metal1_slit has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458932K) : metal1_text has 1029 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458932K) : metal1_opc has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458932K) : metal1_noqrc has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458932K) : metal1_res has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (458932K) : metal1_iprobe has 0 polygons
2026-08-03 20:47:31 +0200: Memory Usage (459060K) : metal1_diffprb has 0 polygons
