# Logfile created on 2026-08-16 17:18:56 +0200 by logger.rb/v1.5.3
2026-08-16 17:18:56 +0200: Memory Usage (454872K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/sg13g2_stdcell_hv/work/drc/shared_rail.gds
2026-08-16 17:18:56 +0200: Memory Usage (454872K) : Ruby Version for klayout: 3.2.3
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : Loading database to memory is complete.
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/sg13g2_stdcell_hv/work/drc/shared_rail_run/shared_rail_shared_rail_main.lyrdb
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : Evaluate switches.
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : tables selected: main
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : deep mode is enabled.
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : FEOL enabled: true
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : BEOL enabled: true
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : OFFGRID enabled: true
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : ANGLE enabled: true
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : PIN enabled: true
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : FORBIDDEN enabled: true
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : RECOMMENDED enabled: true
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : PreCheck DRC enabled: false
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : CONNECTIVITY_RULES enabled: true.
2026-08-16 17:18:56 +0200: Memory Usage (456012K) : Read in polygons from layers.
2026-08-16 17:18:56 +0200: Memory Usage (457372K) : activ_drw has 1280 polygons
2026-08-16 17:18:56 +0200: Memory Usage (457372K) : activ_pin has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (457372K) : activ_mask has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (457372K) : activ_filler has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (457372K) : activ_nofill has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (457372K) : activ_opc has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (457500K) : activ_iopc has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (457500K) : activ_noqrc has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (457500K) : biwind_drw has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (457500K) : biwind_opc has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (457500K) : pemwind_drw has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (457628K) : gatpoly_drw has 1424 polygons
2026-08-16 17:18:56 +0200: Memory Usage (457756K) : gatpoly_pin has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (457756K) : gatpoly_filler has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (457884K) : gatpoly_nofill has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (458012K) : gatpoly_opc has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (458012K) : gatpoly_iopc has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (458012K) : gatpoly_noqrc has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (458328K) : cont_drw has 14764 polygons
2026-08-16 17:18:56 +0200: Memory Usage (458456K) : cont_opc has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (458456K) : nsd_drw has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (458584K) : nsd_block has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (458584K) : metal1_drw has 4176 polygons
2026-08-16 17:18:56 +0200: Memory Usage (458584K) : metal1_pin has 1392 polygons
2026-08-16 17:18:56 +0200: Memory Usage (458584K) : metal1_mask has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (458584K) : metal1_filler has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (458584K) : metal1_nofill has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (458840K) : metal1_slit has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459028K) : metal1_text has 1396 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459028K) : metal1_opc has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459028K) : metal1_noqrc has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459028K) : metal1_res has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459028K) : metal1_iprobe has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459156K) : metal1_diffprb has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459156K) : passiv_drw has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459284K) : passiv_pin has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459284K) : passiv_sbump has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459284K) : passiv_pillar has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459412K) : passiv_pdl has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459412K) : metal2_drw has 8 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459540K) : metal2_pin has 4 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459668K) : metal2_mask has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459668K) : metal2_filler has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459796K) : metal2_nofill has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459796K) : metal2_slit has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459796K) : metal2_text has 4 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459924K) : metal2_opc has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (459924K) : metal2_noqrc has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (460052K) : metal2_res has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (460052K) : metal2_iprobe has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (460180K) : metal2_diffprb has 0 polygons
2026-08-16 17:18:56 +0200: Memory Usage (460180K) : baspoly_drw has 0 polygons
