netlisting 84 schematics with xschem and comparing against 84 SPICE subcircuits

  sg13g2_hv_a21o_1            8 devices, pins + sizes match
  sg13g2_hv_a21o_2            8 devices, pins + sizes match
  sg13g2_hv_a21oi_1           6 devices, pins + sizes match
  sg13g2_hv_a21oi_2           6 devices, pins + sizes match
  sg13g2_hv_a221oi_1         10 devices, pins + sizes match
  sg13g2_hv_a22oi_1           8 devices, pins + sizes match
  sg13g2_hv_and2_1            6 devices, pins + sizes match
  sg13g2_hv_and2_2            6 devices, pins + sizes match
  sg13g2_hv_and3_1            8 devices, pins + sizes match
  sg13g2_hv_and3_2            8 devices, pins + sizes match
  sg13g2_hv_and4_1           10 devices, pins + sizes match
  sg13g2_hv_and4_2           10 devices, pins + sizes match
  sg13g2_hv_antennanp         0 devices, pins + sizes match
  sg13g2_hv_buf_1             4 devices, pins + sizes match
  sg13g2_hv_buf_16            4 devices, pins + sizes match
  sg13g2_hv_buf_2             4 devices, pins + sizes match
  sg13g2_hv_buf_4             4 devices, pins + sizes match
  sg13g2_hv_buf_8             4 devices, pins + sizes match
  sg13g2_hv_decap_4           2 devices, pins + sizes match
  sg13g2_hv_decap_8           2 devices, pins + sizes match
  sg13g2_hv_dfrbp_1          34 devices, pins + sizes match
  sg13g2_hv_dfrbp_2          34 devices, pins + sizes match
  sg13g2_hv_dfrbpq_1         32 devices, pins + sizes match
  sg13g2_hv_dfrbpq_2         32 devices, pins + sizes match
  sg13g2_hv_dlhq_1           18 devices, pins + sizes match
  sg13g2_hv_dlhr_1           24 devices, pins + sizes match
  sg13g2_hv_dlhrq_1          20 devices, pins + sizes match
  sg13g2_hv_dllr_1           24 devices, pins + sizes match
  sg13g2_hv_dllrq_1          20 devices, pins + sizes match
  sg13g2_hv_dlygate4sd1_1     8 devices, pins + sizes match
  sg13g2_hv_dlygate4sd2_1     8 devices, pins + sizes match
  sg13g2_hv_dlygate4sd3_1     8 devices, pins + sizes match
  sg13g2_hv_ebufn_2           8 devices, pins + sizes match
  sg13g2_hv_ebufn_4           8 devices, pins + sizes match
  sg13g2_hv_ebufn_8           8 devices, pins + sizes match
  sg13g2_hv_einvn_2           6 devices, pins + sizes match
  sg13g2_hv_einvn_4           6 devices, pins + sizes match
  sg13g2_hv_einvn_8           6 devices, pins + sizes match
  sg13g2_hv_fill_1            0 devices, pins + sizes match
  sg13g2_hv_fill_2            0 devices, pins + sizes match
  sg13g2_hv_fill_4            0 devices, pins + sizes match
  sg13g2_hv_fill_8            0 devices, pins + sizes match
  sg13g2_hv_inv_1             2 devices, pins + sizes match
  sg13g2_hv_inv_16            2 devices, pins + sizes match
  sg13g2_hv_inv_2             2 devices, pins + sizes match
  sg13g2_hv_inv_4             2 devices, pins + sizes match
  sg13g2_hv_inv_8             2 devices, pins + sizes match
  sg13g2_hv_lgcp_1           20 devices, pins + sizes match
  sg13g2_hv_mux2_1           12 devices, pins + sizes match
  sg13g2_hv_mux2_2           12 devices, pins + sizes match
  sg13g2_hv_mux4_1           26 devices, pins + sizes match
  sg13g2_hv_nand2_1           4 devices, pins + sizes match
  sg13g2_hv_nand2_2           4 devices, pins + sizes match
  sg13g2_hv_nand2b_1          6 devices, pins + sizes match
  sg13g2_hv_nand2b_2          6 devices, pins + sizes match
  sg13g2_hv_nand3_1           6 devices, pins + sizes match
  sg13g2_hv_nand3b_1          8 devices, pins + sizes match
  sg13g2_hv_nand4_1           8 devices, pins + sizes match
  sg13g2_hv_nor2_1            4 devices, pins + sizes match
  sg13g2_hv_nor2_2            4 devices, pins + sizes match
  sg13g2_hv_nor2b_1           6 devices, pins + sizes match
  sg13g2_hv_nor2b_2           6 devices, pins + sizes match
  sg13g2_hv_nor3_1            6 devices, pins + sizes match
  sg13g2_hv_nor3_2            6 devices, pins + sizes match
  sg13g2_hv_nor4_1            8 devices, pins + sizes match
  sg13g2_hv_nor4_2            8 devices, pins + sizes match
  sg13g2_hv_o21ai_1           6 devices, pins + sizes match
  sg13g2_hv_or2_1             6 devices, pins + sizes match
  sg13g2_hv_or2_2             6 devices, pins + sizes match
  sg13g2_hv_or3_1             8 devices, pins + sizes match
  sg13g2_hv_or3_2             8 devices, pins + sizes match
  sg13g2_hv_or4_1            10 devices, pins + sizes match
  sg13g2_hv_or4_2            10 devices, pins + sizes match
  sg13g2_hv_sdfbbp_1         48 devices, pins + sizes match
  sg13g2_hv_sdfrbp_1         46 devices, pins + sizes match
  sg13g2_hv_sdfrbp_2         46 devices, pins + sizes match
  sg13g2_hv_sdfrbpq_1        42 devices, pins + sizes match
  sg13g2_hv_sdfrbpq_2        42 devices, pins + sizes match
  sg13g2_hv_sighold           4 devices, pins + sizes match
  sg13g2_hv_slgcp_1          22 devices, pins + sizes match
  sg13g2_hv_tiehi             4 devices, pins + sizes match
  sg13g2_hv_tielo             4 devices, pins + sizes match
  sg13g2_hv_xnor2_1          10 devices, pins + sizes match
  sg13g2_hv_xor2_1           10 devices, pins + sizes match

schematics: 84/84 cells checked, 924 devices compared
CDL       : 84/84 cells checked, 924 devices compared

RESULT: PASS
